series_id,observed_sales,recovered_demand,recovered_lost_demand,stockout_rate,stockout_rows,n_rows,Recovered lift over observed,Recovered share from imputation
0_234_411,63.5,80.146835,16.646835,0.2673611111111111,616,2304,0.26215488,0.20770422
0_211_630,48.920002,61.74301,12.82301,0.3741319444444444,862,2304,0.26212204,0.2076836
2_92_309,90.66,114.42264,23.762634,0.46875,1080,2304,0.26210713,0.20767424
12_388_554,43.36,54.711754,11.351753,0.3624131944444444,835,2304,0.26180243,0.2074829
3_785_92,85.0,107.241806,22.241804,0.4813368055555556,1109,2304,0.2616683,0.20739864
14_457_190,56.7,71.509415,14.809416,0.3381076388888889,779,2304,0.26118898,0.20709743
6_513_598,40.5,51.070553,10.570554,0.2973090277777778,685,2304,0.26100132,0.20697942
15_510_133,44.0,55.478603,11.478602,0.3823784722222222,881,2304,0.26087734,0.20690143
0_557_632,42.670002,53.781395,11.111393,0.3962673611111111,913,2304,0.26040292,0.20660292
3_782_607,40.420002,50.934864,10.514865,0.3120659722222222,719,2304,0.26014015,0.20643748
0_289_843,43.84,55.230938,11.390937,0.24088541666666666,555,2304,0.25982976,0.20624197
6_470_834,119.700005,150.7925,31.092491,0.54296875,1251,2304,0.25975347,0.2061939
12_384_344,40.02,50.41057,10.39057,0.50390625,1161,2304,0.25963444,0.20611888
0_174_74,40.48,50.966743,10.486744,0.4952256944444444,1141,2304,0.25905988,0.2057566
0_581_834,125.600006,158.11322,32.51321,0.4496527777777778,1036,2304,0.25886312,0.20563246
0_556_129,125.700005,158.21336,32.513367,0.5234375,1206,2304,0.25865844,0.20550328
0_216_74,47.05,59.21474,12.164739,0.4253472222222222,980,2304,0.25854918,0.2054343
0_229_536,38.600002,48.579292,9.97929,0.2443576388888889,563,2304,0.25853083,0.20542271
12_387_634,39.64,49.88634,10.246341,0.3493923611111111,805,2304,0.2584849,0.20539372
6_493_834,151.7,190.90648,39.20647,0.5967881944444444,1375,2304,0.2584474,0.20537004
12_313_600,46.0,57.878883,11.878883,0.4058159722222222,935,2304,0.2582366,0.20523691
3_106_120,67.3,84.66976,17.369762,0.3858506944444444,889,2304,0.25809452,0.20514718
5_111_802,46.600002,58.624092,12.024092,0.1870659722222222,431,2304,0.2580277,0.20510495
3_841_157,137.657,173.09663,35.439636,0.5638020833333334,1299,2304,0.25744885,0.20473902
0_441_797,51.5,64.748474,13.24847,0.2894965277777778,667,2304,0.25725186,0.2046144
16_278_129,72.200005,90.76843,18.56843,0.4383680555555556,1010,2304,0.25718045,0.20456925
0_60_226,109.86,138.00006,28.140059,0.6028645833333334,1389,2304,0.2561447,0.20391338
0_288_41,73.3,92.06245,18.762445,0.2951388888888889,680,2304,0.25596786,0.20380129
0_137_224,93.17,117.01376,23.843763,0.5642361111111112,1300,2304,0.25591674,0.20376888
3_873_607,50.15,62.973457,12.823456,0.3381076388888889,779,2304,0.255702,0.20363271
3_719_316,59.68,74.91461,15.2346115,0.3441840277777778,793,2304,0.25527164,0.20335968
13_698_402,39.48,49.551254,10.071255,0.3342013888888889,770,2304,0.25509763,0.20324925
3_889_860,56.0,70.28288,14.282882,0.2595486111111111,598,2304,0.25505146,0.20321992
0_155_21,50.68,63.604816,12.924817,0.3472222222222222,800,2304,0.25502795,0.203205
0_517_425,43.9,55.08131,11.18131,0.3051215277777778,703,2304,0.25469953,0.20299643
0_263_90,105.3,132.11601,26.816004,0.4453125,1026,2304,0.2546629,0.20297316
3_717_116,39.91,50.06819,10.15819,0.3155381944444444,727,2304,0.25452742,0.20288709
12_482_845,49.5,62.0845,12.584497,0.3090277777777778,712,2304,0.25423226,0.20269951
12_460_633,40.54,50.843616,10.303617,0.3190104166666667,735,2304,0.25415927,0.2026531
0_555_63,55.600002,69.72342,14.123422,0.2630208333333333,606,2304,0.25401837,0.20256352
12_454_834,90.3,113.23634,22.936342,0.48046875,1107,2304,0.25400156,0.20255284
